"","Year","Month","Day","Extent","Missing"
"187","1979",10,"  31",9.924,"      0.000"
"188","1979",11,"  02",10.144,"      0.000"
"189","1979",11,"  04",10.159,"      0.000"
"190","1979",11,"  06",10.267,"      0.000"
"191","1979",11,"  08",10.27,"      0.000"
"192","1979",11,"  10",10.497,"      0.000"
"193","1979",11,"  12",10.61,"      0.000"
"194","1979",11,"  14",10.8,"      0.000"
"195","1979",11,"  16",10.92,"      0.000"
"196","1979",11,"  18",11.01,"      0.000"
"197","1979",11,"  20",11.157,"      0.000"
"198","1979",11,"  22",11.352,"      0.000"
"199","1979",11,"  24",11.419,"      0.000"
"200","1979",11,"  26",11.581,"      0.000"
"201","1979",11,"  28",11.884,"      0.000"
"202","1979",11,"  30",12.076,"      0.000"
"203","1979",12,"  02",12.39,"      0.000"
"204","1979",12,"  04",12.462,"      0.000"
"205","1979",12,"  06",12.781,"      0.000"
"206","1979",12,"  08",12.991,"      0.000"
"207","1979",12,"  10",13.101,"      0.000"
"208","1979",12,"  12",13.292,"      0.000"
"209","1979",12,"  14",13.268,"      0.000"
"210","1979",12,"  16",13.322,"      0.000"
"211","1979",12,"  18",13.377,"      0.000"
"212","1979",12,"  20",13.541,"      0.000"
"213","1979",12,"  22",13.619,"      0.000"
"214","1979",12,"  24",13.773,"      0.000"
"215","1979",12,"  26",13.934,"      0.000"
"216","1979",12,"  28",14.101,"      0.000"
"217","1979",12,"  30",14.092,"      0.000"
"218","1980",1,"  01",14.2,"      0.000"
"219","1980",1,"  03",14.302,"      0.000"
"220","1980",1,"  05",14.414,"      0.000"
"221","1980",1,"  07",14.518,"      0.000"
"222","1980",1,"  09",14.594,"      0.000"
"223","1980",1,"  11",14.665,"      0.000"
"224","1980",1,"  13",14.771,"      0.000"
"225","1980",1,"  15",14.831,"      0.000"
"226","1980",1,"  17",14.957,"      0.000"
"227","1980",1,"  19",15.12,"      0.000"
"228","1980",1,"  21",15.141,"      0.000"
"229","1980",1,"  23",15.195,"      0.000"
"230","1980",1,"  25",15.209,"      0.000"
"231","1980",1,"  27",15.124,"      0.000"
"232","1980",1,"  29",15.258,"      0.000"
"233","1980",1,"  31",15.491,"      0.000"
"234","1980",2,"  02",15.401,"      0.000"
"235","1980",2,"  04",15.639,"      0.000"
"236","1980",2,"  06",15.76,"      0.000"
"237","1980",2,"  08",15.888,"      0.000"
"238","1980",2,"  10",15.895,"      0.000"
"239","1980",2,"  12",15.97,"      0.000"
"240","1980",2,"  14",16.017,"      0.000"
"241","1980",2,"  16",16.095,"      0.000"
"242","1980",2,"  18",16.095,"      0.000"
"243","1980",2,"  20",16.17,"      0.000"
"244","1980",2,"  22",16.066,"      0.000"
"245","1980",2,"  24",16.087,"      0.000"
"246","1980",2,"  26",16.069,"      0.000"
"247","1980",2,"  28",16.22,"      0.000"
"248","1980",3,"  01",16.157,"      0.000"
"249","1980",3,"  03",16.248,"      0.000"
"250","1980",3,"  05",16.302,"      0.000"
"251","1980",3,"  07",16.289,"      0.000"
"252","1980",3,"  09",16.168,"      0.000"
"253","1980",3,"  11",16.04,"      0.000"
"254","1980",3,"  13",15.966,"      0.000"
"255","1980",3,"  15",15.994,"      0.000"
"256","1980",3,"  17",15.988,"      0.000"
"257","1980",3,"  19",16.005,"      0.000"
"258","1980",3,"  21",15.946,"      0.000"
"259","1980",3,"  23",15.945,"      0.000"
"260","1980",3,"  25",15.923,"      0.000"
"261","1980",3,"  27",15.986,"      0.000"
"262","1980",3,"  29",15.891,"      0.000"
"263","1980",3,"  31",15.813,"      0.000"
"264","1980",4,"  02",15.681,"      0.000"
"265","1980",4,"  04",15.664,"      0.000"
"266","1980",4,"  06",15.707,"      0.000"
"267","1980",4,"  08",15.653,"      0.000"
"268","1980",4,"  10",15.644,"      0.000"
"269","1980",4,"  12",15.652,"      0.000"
"270","1980",4,"  14",15.523,"      0.000"
"271","1980",4,"  16",15.509,"      0.000"
"272","1980",4,"  18",15.39,"      0.000"
"273","1980",4,"  20",15.376,"      0.000"
"274","1980",4,"  22",15.406,"      0.000"
"275","1980",4,"  24",15.259,"      0.000"
"276","1980",4,"  26",15.117,"      0.000"
"277","1980",4,"  28",14.996,"      0.000"
"278","1980",4,"  30",14.859,"      0.000"
"279","1980",5,"  02",14.718,"      0.000"
"280","1980",5,"  04",14.549,"      0.000"
"281","1980",5,"  06",14.412,"      0.000"
"282","1980",5,"  08",14.32,"      0.000"
"283","1980",5,"  10",14.186,"      0.000"
"284","1980",5,"  12",14.011,"      0.000"
"285","1980",5,"  14",13.843,"      0.000"
"286","1980",5,"  16",13.757,"      0.000"
"287","1980",5,"  18",13.672,"      0.000"
"288","1980",5,"  20",13.531,"      0.000"
"289","1980",5,"  22",13.405,"      0.000"
"290","1980",5,"  24",13.34,"      0.000"
"291","1980",5,"  26",13.206,"      0.000"
"292","1980",5,"  28",13.023,"      0.000"
"293","1980",5,"  30",12.916,"      0.000"
"294","1980",6,"  01",12.766,"      0.000"
"295","1980",6,"  03",12.706,"      0.000"
"296","1980",6,"  05",12.614,"      0.000"
"297","1980",6,"  07",12.61,"      0.000"
"298","1980",6,"  09",12.586,"      0.000"
"299","1980",6,"  11",12.468,"      0.000"
"300","1980",6,"  13",12.278,"      0.000"
"301","1980",6,"  15",12.269,"      0.000"
"302","1980",6,"  17",12.13,"      0.000"
"303","1980",6,"  19",12.043,"      0.000"
"304","1980",6,"  21",12.007,"      0.000"
"305","1980",6,"  23",11.842,"      0.000"
"306","1980",6,"  25",11.699,"      0.000"
"307","1980",6,"  27",11.585,"      0.000"
"308","1980",6,"  29",11.466,"      0.000"
"309","1980",7,"  01",11.283,"      0.000"
"310","1980",7,"  03",11.075,"      0.000"
"311","1980",7,"  05",10.983,"      0.000"
"312","1980",7,"  07",10.852,"      0.000"
"313","1980",7,"  09",10.7,"      0.000"
"314","1980",7,"  11",10.575,"      0.000"
"315","1980",7,"  13",10.307,"      0.000"
"316","1980",7,"  15",10.203,"      0.000"
"317","1980",7,"  17",9.946,"      0.000"
"318","1980",7,"  19",9.847,"      0.000"
"319","1980",7,"  21",9.779,"      0.000"
"320","1980",7,"  23",9.594,"      0.000"
"321","1980",7,"  25",9.358,"      0.000"
"322","1980",7,"  27",9.166,"      0.000"
"323","1980",7,"  29",9.065,"      0.000"
"324","1980",7,"  31",8.868,"      0.000"
"325","1980",8,"  02",8.76,"      0.000"
"326","1980",8,"  04",8.611,"      0.000"
"327","1980",8,"  06",8.548,"      0.000"
"328","1980",8,"  08",8.348,"      0.000"
"329","1980",8,"  10",8.202,"      0.000"
"330","1980",8,"  12",8.041,"      0.000"
"331","1980",8,"  14",7.82,"      0.000"
"332","1980",8,"  16",7.765,"      0.000"
"333","1980",8,"  18",7.761,"      0.000"
"334","1980",8,"  20",7.717,"      0.000"
"335","1980",8,"  22",7.758,"      0.000"
"336","1980",8,"  24",7.578,"      0.000"
"337","1980",8,"  26",7.667,"      0.000"
"338","1980",8,"  28",7.588,"      0.000"
"339","1980",8,"  30",7.6,"      0.000"
"340","1980",9,"  01",7.544,"      0.000"
"341","1980",9,"  03",7.555,"      0.000"
"342","1980",9,"  05",7.533,"      0.000"
"343","1980",9,"  07",7.574,"      0.000"
"344","1980",9,"  09",7.56,"      0.000"
"345","1980",9,"  11",7.557,"      0.000"
"346","1980",9,"  13",7.543,"      0.000"
"347","1980",9,"  15",7.602,"      0.000"
"348","1980",9,"  17",7.58,"      0.000"
"349","1980",9,"  19",7.651,"      0.000"
"350","1980",9,"  21",7.686,"      0.000"
"351","1980",9,"  23",7.782,"      0.000"
"352","1980",9,"  25",7.854,"      0.000"
"353","1980",9,"  27",7.966,"      0.000"
"354","1980",9,"  29",8.019,"      0.000"
"355","1980",10,"  01",8.223,"      0.000"
"356","1980",10,"  03",8.213,"      0.000"
"357","1980",10,"  05",8.485,"      0.000"
"358","1980",10,"  07",8.532,"      0.000"
"359","1980",10,"  09",8.809,"      0.000"
"360","1980",10,"  11",8.975,"      0.000"
"361","1980",10,"  13",9.161,"      0.000"
"362","1980",10,"  15",9.218,"      0.000"
"363","1980",10,"  17",9.272,"      0.000"
"364","1980",10,"  19",9.389,"      0.000"
"365","1980",10,"  21",9.468,"      0.000"
"366","1980",10,"  23",9.586,"      0.000"
"367","1980",10,"  25",9.643,"      0.000"
"368","1980",10,"  27",9.841,"      0.000"
"369","1980",10,"  29",9.911,"      0.000"
"370","1980",10,"  31",10.198,"      0.000"
"371","1980",11,"  02",10.42,"      0.000"
"372","1980",11,"  04",10.523,"      0.000"
"373","1980",11,"  06",10.652,"      0.000"
"374","1980",11,"  08",10.789,"      0.000"
"375","1980",11,"  10",10.88,"      0.000"
"376","1980",11,"  12",10.976,"      0.000"
"377","1980",11,"  14",11.087,"      0.000"
"378","1980",11,"  16",11.217,"      0.000"
"379","1980",11,"  18",11.337,"      0.000"
"380","1980",11,"  20",11.628,"      0.000"
"381","1980",11,"  22",11.78,"      0.000"
"382","1980",11,"  24",12.096,"      0.000"
"383","1980",11,"  26",12.256,"      0.000"
"384","1980",11,"  28",12.476,"      0.000"
"385","1980",11,"  30",12.626,"      0.000"
"386","1980",12,"  02",12.643,"      0.000"
"387","1980",12,"  04",13.032,"      0.000"
"388","1980",12,"  06",13.122,"      0.000"
"389","1980",12,"  08",13.298,"      0.000"
"390","1980",12,"  10",13.334,"      0.000"
"391","1980",12,"  12",13.569,"      0.000"
"392","1980",12,"  14",13.685,"      0.000"
"393","1980",12,"  16",13.91,"      0.000"
"394","1980",12,"  18",13.762,"      0.000"
"395","1980",12,"  20",13.697,"      0.000"
"396","1980",12,"  22",13.779,"      0.000"
"397","1980",12,"  24",13.798,"      0.000"
"398","1980",12,"  26",14,"      0.000"
"399","1980",12,"  28",14.172,"      0.000"
"400","1980",12,"  30",14.093,"      0.000"
"401","1981",1,"  01",14.256,"      0.000"
"402","1981",1,"  03",14.456,"      0.000"
"403","1981",1,"  05",14.435,"      0.000"
"404","1981",1,"  07",14.689,"      0.000"
"405","1981",1,"  09",14.619,"      0.000"
"406","1981",1,"  11",14.69,"      0.000"
"407","1981",1,"  13",14.649,"      0.000"
